"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","0-PlayerLNameComparatorJaccard-record1Value","0-PlayerLNameComparatorJaccard-record2Value","0-PlayerLNameComparatorJaccard-record1PreprocessedValue","0-PlayerLNameComparatorJaccard-record2PreprocessedValue","0-PlayerLNameComparatorJaccard-similarity","0-PlayerLNameComparatorJaccard-postproccesedSimilarity","1-PlayerFNameComparatorJaccard-record1Value","1-PlayerFNameComparatorJaccard-record2Value","1-PlayerFNameComparatorJaccard-record1PreprocessedValue","1-PlayerFNameComparatorJaccard-record2PreprocessedValue","1-PlayerFNameComparatorJaccard-similarity","1-PlayerFNameComparatorJaccard-postproccesedSimilarity"
"LinearCombinationMatchingRule","newplayerTeamData_1399","newplayerTeamData_1412","0.0",,"kaabi ayoub","ahmed","kaabi ayoub","ahmed","0.0","0.0","el","tagnaouti","el","tagnaouti","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1399","newplayerTeamData_1411","0.0",,"kaabi ayoub","sofyan","kaabi ayoub","sofyan","0.0","0.0","el","amrabat","el","amrabat","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1399","newplayerTeamData_1410","0.0",,"kaabi ayoub","aziz","kaabi ayoub","aziz","0.0","0.0","el","bouhaddouz","el","bouhaddouz","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1399","newplayerTeamData_1419","0.0",,"kaabi ayoub","leon","kaabi ayoub","leon","0.0","0.0","el","balogun","el","balogun","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1399","newplayerTeamData_1418","0.0",,"kaabi ayoub","william","kaabi ayoub","william","0.0","0.0","el","ekong","el","ekong","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1399","newplayerTeamData_1417","0.0",,"kaabi ayoub","onyinye","kaabi ayoub","onyinye","0.0","0.0","el","ndidi","el","ndidi","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1399","newplayerTeamData_1416","0.0",,"kaabi ayoub","elderson","kaabi ayoub","elderson","0.0","0.0","el","echiejile","el","echiejile","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1399","newplayerTeamData_1415","0.0",,"kaabi ayoub","bryan","kaabi ayoub","bryan","0.0","0.0","el","idowu","el","idowu","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1399","newplayerTeamData_1414","0.0",,"kaabi ayoub","ikechukwu","kaabi ayoub","ikechukwu","0.0","0.0","el","ezenwa","el","ezenwa","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1399","newplayerTeamData_1413","0.0",,"kaabi ayoub","mehdi","kaabi ayoub","mehdi","0.0","0.0","el","carcela","el","carcela","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1399","newplayerTeamData_1423","0.0",,"kaabi ayoub","john obi","kaabi ayoub","john obi","0.0","0.0","el","mikel","el","mikel","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1399","newplayerTeamData_1422","0.0",,"kaabi ayoub","odion","kaabi ayoub","odion","0.0","0.0","el","ighalo","el","ighalo","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1399","newplayerTeamData_1421","0.0",,"kaabi ayoub","oghenekaro","kaabi ayoub","oghenekaro","0.0","0.0","el","etebo","el","etebo","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1399","newplayerTeamData_1420","0.0",,"kaabi ayoub","ahmed","kaabi ayoub","ahmed","0.0","0.0","el","musa","el","musa","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1399","newplayerTeamData_1429","0.0",,"kaabi ayoub","daniel","kaabi ayoub","daniel","0.0","0.0","el","akpeyi","el","akpeyi","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1399","newplayerTeamData_1428","0.0",,"kaabi ayoub","joel","kaabi ayoub","joel","0.0","0.0","el","obi","el","obi","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1399","newplayerTeamData_1427","0.0",,"kaabi ayoub","kelechi","kaabi ayoub","kelechi","0.0","0.0","el","iheanacho","el","iheanacho","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1399","newplayerTeamData_1426","0.0",,"kaabi ayoub","simeon","kaabi ayoub","simeon","0.0","0.0","el","nwankwo","el","nwankwo","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1399","newplayerTeamData_1425","0.0",,"kaabi ayoub","abdullahi","kaabi ayoub","abdullahi","0.0","0.0","el","shehu","el","shehu","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1399","newplayerTeamData_1424","0.0",,"kaabi ayoub","victor","kaabi ayoub","victor","0.0","0.0","el","moses","el","moses","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1423","newplayerTeamData_1389","0.0",,"john obi","hirving","john obi","hirving","0.0","0.0","mikel","lozano","mikel","lozano","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1413","0.0",,"odion","mehdi","odion","mehdi","0.0","0.0","ighalo","carcela","ighalo","carcela","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1423","newplayerTeamData_1386","0.0",,"john obi","oribe","john obi","oribe","0.0","0.0","mikel","peralta","mikel","peralta","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1423","newplayerTeamData_1385","0.0",,"john obi","andres","john obi","andres","0.0","0.0","mikel","guardado","mikel","guardado","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1412","0.0",,"odion","ahmed","odion","ahmed","0.0","0.0","ighalo","tagnaouti","ighalo","tagnaouti","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1423","newplayerTeamData_1388","0.0",,"john obi","edson","john obi","edson","0.0","0.0","mikel","alvarez","mikel","alvarez","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1411","0.0",,"odion","sofyan","odion","sofyan","0.0","0.0","ighalo","amrabat","ighalo","amrabat","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1410","0.0",,"odion","aziz","odion","aziz","0.0","0.0","ighalo","bouhaddouz","ighalo","bouhaddouz","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1423","newplayerTeamData_1387","0.0",,"john obi","javier","john obi","javier","0.0","0.0","mikel","aquino","mikel","aquino","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1423","newplayerTeamData_1384","0.0",,"john obi","jesus","john obi","jesus","0.0","0.0","mikel","corona","mikel","corona","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1417","0.0",,"odion","onyinye","odion","onyinye","0.0","0.0","ighalo","ndidi","ighalo","ndidi","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1416","0.0",,"odion","elderson","odion","elderson","0.0","0.0","ighalo","echiejile","ighalo","echiejile","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1415","0.0",,"odion","bryan","odion","bryan","0.0","0.0","ighalo","idowu","ighalo","idowu","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1414","0.0",,"odion","ikechukwu","odion","ikechukwu","0.0","0.0","ighalo","ezenwa","ighalo","ezenwa","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1419","0.0",,"odion","leon","odion","leon","0.0","0.0","ighalo","balogun","ighalo","balogun","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1418","0.0",,"odion","william","odion","william","0.0","0.0","ighalo","ekong","ighalo","ekong","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1420","0.0",,"odion","ahmed","odion","ahmed","0.0","0.0","ighalo","musa","ighalo","musa","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1424","0.0",,"odion","victor","odion","victor","0.0","0.0","ighalo","moses","ighalo","moses","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1423","newplayerTeamData_1397","0.0",,"john obi","hakim","john obi","hakim","0.0","0.0","mikel","ziyach","mikel","ziyach","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1423","newplayerTeamData_1396","0.0",,"john obi","romain","john obi","romain","0.0","0.0","mikel","saiss","mikel","saiss","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1423","0.0",,"odion","john obi","odion","john obi","0.0","0.0","ighalo","mikel","ighalo","mikel","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1422","1.0",,"odion","odion","odion","odion","1.0","1.0","ighalo","ighalo","ighalo","ighalo","1.0","1.0"
"LinearCombinationMatchingRule","newplayerTeamData_1423","newplayerTeamData_1399","0.0",,"john obi","kaabi ayoub","john obi","kaabi ayoub","0.0","0.0","mikel","el","mikel","el","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1421","0.0",,"odion","oghenekaro","odion","oghenekaro","0.0","0.0","ighalo","etebo","ighalo","etebo","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1423","newplayerTeamData_1398","0.0",,"john obi","ahmadi karim","john obi","ahmadi karim","0.0","0.0","mikel","el","mikel","el","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1423","newplayerTeamData_1393","0.0",,"john obi","hamza","john obi","hamza","0.0","0.0","mikel","mendyl","mikel","mendyl","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1423","newplayerTeamData_1392","0.0",,"john obi","achraf","john obi","achraf","0.0","0.0","mikel","hakimi","mikel","hakimi","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1423","newplayerTeamData_1395","0.0",,"john obi","mehdi","john obi","mehdi","0.0","0.0","mikel","benatia","mikel","benatia","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1423","newplayerTeamData_1394","0.0",,"john obi","costa manuel","john obi","costa manuel","0.0","0.0","mikel","da","mikel","da","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1423","newplayerTeamData_1391","0.0",,"john obi","yassine","john obi","yassine","0.0","0.0","mikel","bounou","mikel","bounou","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1423","newplayerTeamData_1390","0.0",,"john obi","jesus","john obi","jesus","0.0","0.0","mikel","gallardo","mikel","gallardo","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1428","0.0",,"odion","joel","odion","joel","0.0","0.0","ighalo","obi","ighalo","obi","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1427","0.0",,"odion","kelechi","odion","kelechi","0.0","0.0","ighalo","iheanacho","ighalo","iheanacho","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1426","0.0",,"odion","simeon","odion","simeon","0.0","0.0","ighalo","nwankwo","ighalo","nwankwo","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1425","0.0",,"odion","abdullahi","odion","abdullahi","0.0","0.0","ighalo","shehu","ighalo","shehu","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1429","0.0",,"odion","daniel","odion","daniel","0.0","0.0","ighalo","akpeyi","ighalo","akpeyi","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1403","newplayerTeamData_1413","0.0",,"khalid","mehdi","khalid","mehdi","0.0","0.0","boutaib","carcela","boutaib","carcela","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1403","newplayerTeamData_1414","0.0",,"khalid","ikechukwu","khalid","ikechukwu","0.0","0.0","boutaib","ezenwa","boutaib","ezenwa","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1403","newplayerTeamData_1415","0.0",,"khalid","bryan","khalid","bryan","0.0","0.0","boutaib","idowu","boutaib","idowu","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1403","newplayerTeamData_1416","0.0",,"khalid","elderson","khalid","elderson","0.0","0.0","boutaib","echiejile","boutaib","echiejile","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1403","newplayerTeamData_1410","0.0",,"khalid","aziz","khalid","aziz","0.0","0.0","boutaib","bouhaddouz","boutaib","bouhaddouz","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1403","newplayerTeamData_1411","0.0",,"khalid","sofyan","khalid","sofyan","0.0","0.0","boutaib","amrabat","boutaib","amrabat","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1404","newplayerTeamData_1388","0.0",,"mbark","edson","mbark","edson","0.0","0.0","boussoufa","alvarez","boussoufa","alvarez","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1404","newplayerTeamData_1389","0.0",,"mbark","hirving","mbark","hirving","0.0","0.0","boussoufa","lozano","boussoufa","lozano","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1403","newplayerTeamData_1412","0.0",,"khalid","ahmed","khalid","ahmed","0.0","0.0","boutaib","tagnaouti","boutaib","tagnaouti","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1404","newplayerTeamData_1386","0.0",,"mbark","oribe","mbark","oribe","0.0","0.0","boussoufa","peralta","boussoufa","peralta","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1404","newplayerTeamData_1387","0.0",,"mbark","javier","mbark","javier","0.0","0.0","boussoufa","aquino","boussoufa","aquino","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1404","newplayerTeamData_1384","0.0",,"mbark","jesus","mbark","jesus","0.0","0.0","boussoufa","corona","boussoufa","corona","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1404","newplayerTeamData_1385","0.0",,"mbark","andres","mbark","andres","0.0","0.0","boussoufa","guardado","boussoufa","guardado","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1404","newplayerTeamData_1390","0.0",,"mbark","jesus","mbark","jesus","0.0","0.0","boussoufa","gallardo","boussoufa","gallardo","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1403","newplayerTeamData_1417","0.0",,"khalid","onyinye","khalid","onyinye","0.0","0.0","boutaib","ndidi","boutaib","ndidi","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1403","newplayerTeamData_1418","0.0",,"khalid","william","khalid","william","0.0","0.0","boutaib","ekong","boutaib","ekong","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1403","newplayerTeamData_1419","0.0",,"khalid","leon","khalid","leon","0.0","0.0","boutaib","balogun","boutaib","balogun","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1403","newplayerTeamData_1402","0.0",,"khalid","kajoui monir","khalid","kajoui monir","0.0","0.0","boutaib","el","boutaib","el","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1403","newplayerTeamData_1403","1.0",,"khalid","khalid","khalid","khalid","1.0","1.0","boutaib","boutaib","boutaib","boutaib","1.0","1.0"
"LinearCombinationMatchingRule","newplayerTeamData_1403","newplayerTeamData_1404","0.0",,"khalid","mbark","khalid","mbark","0.0","0.0","boutaib","boussoufa","boutaib","boussoufa","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1403","newplayerTeamData_1405","0.0",,"khalid","bennasser youssef","khalid","bennasser youssef","0.0","0.0","boutaib","ait","boutaib","ait","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1403","newplayerTeamData_1400","0.0",,"khalid","younes","khalid","younes","0.0","0.0","boutaib","belhanda","boutaib","belhanda","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1403","newplayerTeamData_1401","0.0",,"khalid","faycal","khalid","faycal","0.0","0.0","boutaib","fajr","boutaib","fajr","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1403","newplayerTeamData_1406","0.0",,"khalid","noureddine","khalid","noureddine","0.0","0.0","boutaib","amrabat","boutaib","amrabat","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1403","newplayerTeamData_1407","0.0",,"khalid","nabil","khalid","nabil","0.0","0.0","boutaib","dirar","boutaib","dirar","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1403","newplayerTeamData_1408","0.0",,"khalid","amine","khalid","amine","0.0","0.0","boutaib","harit","boutaib","harit","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1403","newplayerTeamData_1409","0.0",,"khalid","nesyri youssef","khalid","nesyri youssef","0.0","0.0","boutaib","en","boutaib","en","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1409","newplayerTeamData_1384","0.0",,"nesyri youssef","jesus","nesyri youssef","jesus","0.0","0.0","en","corona","en","corona","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1400","0.0",,"amine","younes","amine","younes","0.0","0.0","harit","belhanda","harit","belhanda","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1401","0.0",,"amine","faycal","amine","faycal","0.0","0.0","harit","fajr","harit","fajr","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1402","0.0",,"amine","kajoui monir","amine","kajoui monir","0.0","0.0","harit","el","harit","el","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1407","0.0",,"amine","nabil","amine","nabil","0.0","0.0","harit","dirar","harit","dirar","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1408","1.0",,"amine","amine","amine","amine","1.0","1.0","harit","harit","harit","harit","1.0","1.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1409","0.0",,"amine","nesyri youssef","amine","nesyri youssef","0.0","0.0","harit","en","harit","en","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1403","0.0",,"amine","khalid","amine","khalid","0.0","0.0","harit","boutaib","harit","boutaib","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1404","0.0",,"amine","mbark","amine","mbark","0.0","0.0","harit","boussoufa","harit","boussoufa","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1405","0.0",,"amine","bennasser youssef","amine","bennasser youssef","0.0","0.0","harit","ait","harit","ait","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1406","0.0",,"amine","noureddine","amine","noureddine","0.0","0.0","harit","amrabat","harit","amrabat","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1421","0.0",,"amine","oghenekaro","amine","oghenekaro","0.0","0.0","harit","etebo","harit","etebo","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1422","0.0",,"amine","odion","amine","odion","0.0","0.0","harit","ighalo","harit","ighalo","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1423","0.0",,"amine","john obi","amine","john obi","0.0","0.0","harit","mikel","harit","mikel","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1424","0.0",,"amine","victor","amine","victor","0.0","0.0","harit","moses","harit","moses","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1409","newplayerTeamData_1397","0.0",,"nesyri youssef","hakim","nesyri youssef","hakim","0.0","0.0","en","ziyach","en","ziyach","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1409","newplayerTeamData_1396","0.0",,"nesyri youssef","romain","nesyri youssef","romain","0.0","0.0","en","saiss","en","saiss","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1409","newplayerTeamData_1399","0.0",,"nesyri youssef","kaabi ayoub","nesyri youssef","kaabi ayoub","0.0","0.0","en","el","en","el","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1409","newplayerTeamData_1398","0.0",,"nesyri youssef","ahmadi karim","nesyri youssef","ahmadi karim","0.0","0.0","en","el","en","el","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1420","0.0",,"amine","ahmed","amine","ahmed","0.0","0.0","harit","musa","harit","musa","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1429","0.0",,"amine","daniel","amine","daniel","0.0","0.0","harit","akpeyi","harit","akpeyi","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1425","0.0",,"amine","abdullahi","amine","abdullahi","0.0","0.0","harit","shehu","harit","shehu","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1426","0.0",,"amine","simeon","amine","simeon","0.0","0.0","harit","nwankwo","harit","nwankwo","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1427","0.0",,"amine","kelechi","amine","kelechi","0.0","0.0","harit","iheanacho","harit","iheanacho","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1428","0.0",,"amine","joel","amine","joel","0.0","0.0","harit","obi","harit","obi","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1402","0.0",,"odion","kajoui monir","odion","kajoui monir","0.0","0.0","ighalo","el","ighalo","el","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1401","0.0",,"odion","faycal","odion","faycal","0.0","0.0","ighalo","fajr","ighalo","fajr","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1400","0.0",,"odion","younes","odion","younes","0.0","0.0","ighalo","belhanda","ighalo","belhanda","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1409","newplayerTeamData_1393","0.0",,"nesyri youssef","hamza","nesyri youssef","hamza","0.0","0.0","en","mendyl","en","mendyl","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1409","newplayerTeamData_1392","0.0",,"nesyri youssef","achraf","nesyri youssef","achraf","0.0","0.0","en","hakimi","en","hakimi","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1409","newplayerTeamData_1395","0.0",,"nesyri youssef","mehdi","nesyri youssef","mehdi","0.0","0.0","en","benatia","en","benatia","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1409","newplayerTeamData_1394","0.0",,"nesyri youssef","costa manuel","nesyri youssef","costa manuel","0.0","0.0","en","da","en","da","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1409","newplayerTeamData_1391","0.0",,"nesyri youssef","yassine","nesyri youssef","yassine","0.0","0.0","en","bounou","en","bounou","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1409","newplayerTeamData_1390","0.0",,"nesyri youssef","jesus","nesyri youssef","jesus","0.0","0.0","en","gallardo","en","gallardo","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1410","0.0",,"amine","aziz","amine","aziz","0.0","0.0","harit","bouhaddouz","harit","bouhaddouz","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1411","0.0",,"amine","sofyan","amine","sofyan","0.0","0.0","harit","amrabat","harit","amrabat","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1409","newplayerTeamData_1389","0.0",,"nesyri youssef","hirving","nesyri youssef","hirving","0.0","0.0","en","lozano","en","lozano","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1412","0.0",,"amine","ahmed","amine","ahmed","0.0","0.0","harit","tagnaouti","harit","tagnaouti","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1413","0.0",,"amine","mehdi","amine","mehdi","0.0","0.0","harit","carcela","harit","carcela","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1409","newplayerTeamData_1386","0.0",,"nesyri youssef","oribe","nesyri youssef","oribe","0.0","0.0","en","peralta","en","peralta","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1409","newplayerTeamData_1385","0.0",,"nesyri youssef","andres","nesyri youssef","andres","0.0","0.0","en","guardado","en","guardado","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1409","newplayerTeamData_1388","0.0",,"nesyri youssef","edson","nesyri youssef","edson","0.0","0.0","en","alvarez","en","alvarez","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1409","newplayerTeamData_1387","0.0",,"nesyri youssef","javier","nesyri youssef","javier","0.0","0.0","en","aquino","en","aquino","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1418","0.0",,"amine","william","amine","william","0.0","0.0","harit","ekong","harit","ekong","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1406","0.0",,"odion","noureddine","odion","noureddine","0.0","0.0","ighalo","amrabat","ighalo","amrabat","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1405","0.0",,"odion","bennasser youssef","odion","bennasser youssef","0.0","0.0","ighalo","ait","ighalo","ait","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1419","0.0",,"amine","leon","amine","leon","0.0","0.0","harit","balogun","harit","balogun","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1404","0.0",,"odion","mbark","odion","mbark","0.0","0.0","ighalo","boussoufa","ighalo","boussoufa","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1403","0.0",,"odion","khalid","odion","khalid","0.0","0.0","ighalo","boutaib","ighalo","boutaib","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1414","0.0",,"amine","ikechukwu","amine","ikechukwu","0.0","0.0","harit","ezenwa","harit","ezenwa","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1415","0.0",,"amine","bryan","amine","bryan","0.0","0.0","harit","idowu","harit","idowu","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1409","0.0",,"odion","nesyri youssef","odion","nesyri youssef","0.0","0.0","ighalo","en","ighalo","en","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1408","0.0",,"odion","amine","odion","amine","0.0","0.0","ighalo","harit","ighalo","harit","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1416","0.0",,"amine","elderson","amine","elderson","0.0","0.0","harit","echiejile","harit","echiejile","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1408","newplayerTeamData_1417","0.0",,"amine","onyinye","amine","onyinye","0.0","0.0","harit","ndidi","harit","ndidi","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1422","newplayerTeamData_1407","0.0",,"odion","nabil","odion","nabil","0.0","0.0","ighalo","dirar","ighalo","dirar","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1415","newplayerTeamData_1429","0.0",,"bryan","daniel","bryan","daniel","0.0","0.0","idowu","akpeyi","idowu","akpeyi","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1415","newplayerTeamData_1428","0.0",,"bryan","joel","bryan","joel","0.0","0.0","idowu","obi","idowu","obi","0.0","0.0"
